latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp
28.74322,79.86758,337.7,0.57,0.43,2017-10-14,0808,N,VIIRS,n,1,306,4
28.75433,79.93122,353.4,0.38,0.44,2017-10-14,0808,N,VIIRS,n,1,305,9.2
28.72505,79.92477,342.2,0.48,0.4,2017-10-16,0730,N,VIIRS,n,1,305.5,12.4
28.59841,80.16287,334.2,0.47,0.4,2017-10-16,0730,N,VIIRS,n,1,301.7,2.8
29.00684,79.73914,337.1,0.41,0.37,2017-10-04,0756,N,VIIRS,n,1,297,4.3
29.00949,79.73319,339.9,0.47,0.4,2017-10-09,0802,N,VIIRS,n,1,302.5,6.4
29.00843,79.70099,333.2,0.39,0.36,2017-10-15,0749,N,VIIRS,n,1,302.6,2.7
29.00113,79.72903,337.4,0.48,0.4,2017-10-16,0730,N,VIIRS,n,1,304.8,10.5
28.84106,79.23656,341.8,0.33,0.56,2017-10-13,0827,N,VIIRS,n,1,301.6,2.7
28.84203,79.23462,331.5,0.33,0.56,2017-10-13,0827,N,VIIRS,n,1,300.7,3.3
28.83365,79.13888,334.3,0.38,0.36,2017-10-15,0749,N,VIIRS,n,1,306.4,2.3
28.84358,79.19337,334.5,0.52,0.41,2017-10-16,0730,N,VIIRS,n,1,304.6,2.3
27.05754,81.32164,330.5,0.38,0.36,2017-10-10,0742,N,VIIRS,n,1,302.7,1.7
27.05974,81.30704,335.6,0.52,0.41,2017-10-11,0724,N,VIIRS,n,1,297.9,6.9
24.16331,82.54832,308.6,0.46,0.64,2017-10-07,1925,N,VIIRS,n,1,286.3,1.8
24.16483,82.55762,305.2,0.42,0.45,2017-10-14,2034,N,VIIRS,n,1,293.8,1.4
28.15462,80.22346,330.1,0.48,0.4,2017-09-30,0730,N,VIIRS,n,1,298.6,2.9
28.10267,80.19712,333.6,0.42,0.37,2017-10-05,0736,N,VIIRS,n,1,300,7.9
28.1176,80.16008,333,0.44,0.63,2017-10-07,0659,N,VIIRS,n,1,296.4,3.6
28.16609,80.11387,331.6,0.59,0.53,2017-10-08,0820,N,VIIRS,n,1,301.7,2.4
28.08765,80.09785,334,0.48,0.4,2017-10-09,0802,N,VIIRS,n,1,300.1,4.1
28.12513,80.15744,334.4,0.48,0.4,2017-10-09,0802,N,VIIRS,n,1,297.8,5.1
28.13808,80.1706,332.5,0.49,0.4,2017-10-09,0802,N,VIIRS,n,1,298.6,4.9
28.14673,80.17938,336.1,0.49,0.4,2017-10-09,0802,N,VIIRS,n,1,301.1,23.8
28.06265,80.12888,334,0.39,0.36,2017-10-10,0743,N,VIIRS,n,1,301.3,4.4
28.13203,80.16432,332.8,0.39,0.36,2017-10-10,0743,N,VIIRS,n,1,302,2.1
28.13062,80.11196,333.4,0.39,0.36,2017-10-10,0743,N,VIIRS,n,1,300.9,2
28.14572,80.1211,332.7,0.39,0.36,2017-10-10,0743,N,VIIRS,n,1,300.4,1.3
28.14466,80.13652,332,0.36,0.57,2017-10-12,0705,N,VIIRS,n,1,297.2,7.8
28.09637,80.16582,367,0.72,0.76,2017-10-12,0846,N,VIIRS,h,1,294.8,11.2
28.11081,80.19475,330.9,0.38,0.58,2017-10-13,0827,N,VIIRS,n,1,299.9,2.9
